device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.75,1702,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,479,8a24fd2e9bec8808a67898033298660f46e86456cca1cdc493872469b34f88a8
device_0,0.75,1702,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,979,aa2d53a56310475406839e5a83365d827fcb6c164ff4f5688753441e2a6b591b
device_0,0.75,1702,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,979,26da53083171232480c44a44e6073372777c6082906ba856ea35c349e3dd966a
device_0,0.75,1702,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,1479,75f2c14b88767b67cc8c2331213bddfa716f533756150d4fa32b90b68e5f9794
device_0,0.75,1702,1.5,54.0675,0.15,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,21,1479,33a43bc92fdc72639a651a02a79ce91f1e8160f0dbee12b5f31bfd375744e1a2
device_0,0.75,1702,2.0,72.09,0.01,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,100,752ccfea921c2c082b32d7e6b2c6cb5c29768c46f0ba68912349c33c7f5aee0a
device_0,0.75,1702,2.0,72.09,0.01,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,100,fb4e2257ef514d62f19979aa3e8ea0ba42f251bb1fc15db4262cd637017bef4e
device_0,0.75,1702,2.0,72.09,0.05,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,500,98341e1042fa0b027d9ff69683e0207beda7a5b9204816e9ba93457f226e5dd9
device_0,0.75,1702,2.0,72.09,0.05,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,500,aea77c9ff95b6ce158fc1886e338824d2d3d9e597fe342bcfb207cd62cb2e6ef
device_0,0.75,1702,2.0,72.09,0.1,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,1000,179cdea0fe3fcac3f0db99654e0a25d9d25053244a82f479116ea8548f1feb6d
device_0,0.75,1702,2.0,72.09,0.1,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,1000,b4d6bedf078b8ff258cde6fe1d308d871f583dfa1cd9b54cdc3390b1b2d66d07
device_0,0.75,1702,2.0,72.09,0.15,drop,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,1500,81a9ab3aff1ae286735982c8ce8e9d4073794afca90188b3288311ee7cbbb7a1
device_0,0.75,1702,2.0,72.09,0.15,late,40.0,12.0,3.3333333333333335,0.2084,0.7526749545009777,0,1500,567825b013cc4500758b73e23043c08b9fcc203f0d6fa133ad4d3ade2c676180
device_0,0.975,1701,1.1,39.6495,0.15,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,709,791,81d770bfe57872f71fb38527787ff62cda0d8b871c16f5d1954054a85b1e9c56
device_0,0.975,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,709,791,8f57f1a180fd15e0a3507ad15c30e45a65b300f9263b6cc0232f6a9ce330a4f6
device_0,0.975,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,319,681,fb92f2588f3bb7394440fcfefc701e32903c0642bf9a122b324bf3318afbe3eb
device_0,0.975,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,319,681,aecbad861e5d51a40102524ef0b6ec44896a0f5c445ef28b5639c4cca7d5c040
device_0,0.975,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,319,1181,70093cf02f7fb77978bcd9933fbf9c12c0fb83d3b16ae517dfd9b916b36f6537
device_0,0.975,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,319,1181,c8b958d5c8b49fb07fa85e7f4e0b1cb6e13b0fb71ac5fce238090131c501c8c9
device_0,0.975,1701,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,417,937f5a2518948bf881da5e583923c279919d9c8d3f8652399939caef0e6422ff
device_0,0.975,1701,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,417,8df335612f3427df2ad231d6a88fcc3dd1188a1d0ec9ac2f8e87e5b6fd455b70
device_0,0.975,1701,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,917,4529718e0d008ce0f333e80fccd0287e05a78478e7fa12f23c4b2a18bd05c00a
device_0,0.975,1701,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,917,0dcae6571d7f033d8841a097908fefed7cc04557dac3fb33c3d295a2cb5d1b72
device_0,0.975,1701,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,1417,53068a0dbaa08754c93b1b3506683aff2fa6cbb27d547b33159d544078d56c91
device_0,0.975,1701,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,83,1417,e71c829b28a514b7b46e146c322abcdee006e8b9440395ff0bd74141f3e037b0
device_0,0.975,1701,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,15,85,ac20714048ce06b9e6d5b99bba4300a8816bf07ecd084df7578c08da03a78307
device_0,0.975,1701,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.1992,0.9789949792069076,15,85,fc1f89f97d598f6e74863207258d9bffc8c2e697489a1e587f1e3b159668ff9c
